kind,queue_rank,slug,name_ja,area_slug,prefecture,initial_tier,initial_signals,source_basis,verification_status,source_files
accommodation,251,izu-nagaoka-yoshiharu,湯めぐりの宿 吉春,izu-nagaoka,静岡県,Tier 1,복수 대절 노천과 객실 노천탕 강한 후보,Rakuten Izu Nagaoka room-open-air source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,252,kaike-kasuitei,皆生温泉 華水亭,kaike,鳥取県,Tier 1,바다 전망 대욕장과 객실 노천탕 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,253,kaike-shiontei,皆生温泉 やど紫苑亭,kaike,鳥取県,Tier 1,고급 객실탕과 해안 온천 후보,Jalan Chugoku/Shikoku source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,254,kaike-yugetsu,皆生游月,kaike,鳥取県,Tier 1,객실 노천탕 인기 신호,Rakuten rotsuki ranking historic/source follow-up,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
accommodation,255,kaike-yurari,皆生温泉 海色・湯の宿 松月,kaike,鳥取県,Tier 1,해안 객실탕과 전망 온천 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,256,toba-todaya,戸田家,toba,三重県,Tier 1,"대형 온천호텔, 다양한 욕장/리뷰풀 후보",Toba lodging exposure,needs_bath_detail_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,257,shirahama-kawakyu,ホテル川久,shirahama,和歌山県,Tier 1,"객실 노천탕 인기, 대형 리조트형 후보",MyBest/Jalan Shirahama room-open-air,needs_bath_detail_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,258,shirahama-key-terrace,SHIRAHAMA KEY TERRACE HOTEL SEAMORE,shirahama,和歌山県,Tier 1,"바다 전망 대형 리조트, 온천·족탕·당일이용 후보",Nanki Shirahama tourism onsen page,needs_bath_detail_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,259,shirahama-yanagiya,白浜温泉 家族とすごす白浜の宿 柳屋,shirahama,和歌山県,Tier 1,"가족형 료칸, 객실 노천탕 후보",Jalan Shirahama room-open-air page,needs_bath_detail_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,260,akiu-hotel-zuiho,仙台 秋保温泉 ホテル瑞鳳,akiu,宮城県,Tier 1,"대형 온천호텔, 櫻離宮 연계/대욕장 리뷰풀 후보",Ikkyu Akiu exposure,needs_bath_detail_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,261,akiu-ryokusuitei,仙台 秋保温泉 篝火の湯 緑水亭,akiu,宮城県,Tier 1,"객실 노천탕 인기, 대정원/대욕장 후보",Ikkyu/MyBest Akiu room-open-air,needs_bath_detail_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
