kind,queue_rank,slug,name_ja,area_slug,prefecture,initial_tier,initial_signals,source_basis,verification_status,source_files
accommodation,151,nozawa-sakaya,野沢温泉 旅館さかや,nozawa,長野県,Tier 1,자가원천과 전통 대욕장 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,152,shirahonet-onsen-awano-yu,白骨温泉 泡の湯,shirahonet,長野県,Tier 1,대형 혼욕 노천과 백탁 온천 신호,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,153,shirahonet-sasaya,白骨温泉 湯元齋藤旅館,shirahonet,長野県,Tier 1,백탁 원천과 고급 료칸 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,154,shibu-kanaguya,渋温泉 歴史の宿 金具屋,yudanaka-shibu,長野県,Tier 1,역사 건축과 다욕장 온천 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,155,shibu-kokuya,渋温泉 古久屋,yudanaka-shibu,長野県,Tier 1,다원천 내탕과 객실탕 후보,regional high-value source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,156,shibu-sakaeya,渋温泉 春蘭の宿さかえや,yudanaka-shibu,長野県,Tier 1,객실 노천탕과 외탕 순례 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,157,yudanaka-aburaya-tousen,湯田中温泉 あぶらや燈千,yudanaka-shibu,長野県,Tier 1,객실 노천탕과 옥상 노천탕 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,158,yudanaka-tsubakino,湯田中温泉 ホテル椿野,yudanaka-shibu,長野県,Tier 1,객실 노천탕과 전망 대욕장 후보,Jalan Nagano keyword source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,159,misasa-izanro-iwasaki,三朝温泉 依山楼岩崎,misasa,鳥取県,Tier 1,라듐 온천과 대형 회유식 대욕장 후보,Jalan Chugoku/Shikoku source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,160,misasa-mansuirou,三朝温泉 万翆楼,misasa,鳥取県,Tier 1,객실 노천탕과 라듐 온천 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,161,kirishima-aubegio-kanko,霧島観光ホテル,kirishima,鹿児島県,Tier 1,객실 노천탕과 전망 대욕장 후보,Rakuten Kirishima room-open-air source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,162,kirishima-gajoen,忘れの里 雅叙苑,kirishima,鹿児島県,Tier 1,묘켄 온천 고급 객실탕 후보,regional high-end source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,163,kirishima-hotel,霧島ホテル,kirishima,鹿児島県,Tier 1,대형 황산 계열 대욕장과 명물 온천 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,164,kirishima-lavista,ラビスタ霧島ヒルズ,kirishima,鹿児島県,Tier 1,객실 노천탕 인기 신호,Rakuten rotsuki ranking historic/source follow-up,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
