kind,queue_rank,slug,name_ja,area_slug,prefecture,initial_tier,initial_signals,source_basis,verification_status,source_files
accommodation,201,isawa-koshien,銘庭の宿 ホテル甲子園,isawa,山梨県,Tier 1,"객실 노천/반노천 리뉴얼 신호, 리뷰풀 후보",Rakuten/Jalan Isawa room-open-air,needs_official_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,202,isawa-wajoen,糸柳別館 離れの邸 和穣苑,isawa,山梨県,Tier 1,"離れ 숙소, 객실탕/고급숙 후보",Jalan Isawa room-open-air page,needs_official_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,203,fujiyoshida-kaneyamaen,庭園と感動の宿 富士山温泉 ホテル鐘山苑,kawaguchiko,山梨県,Tier 1,후지산 온천·정원·객실탕 후보,Ikkyu rotsuki theme snippet,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
accommodation,204,kawaguchiko-fufu,ふふ 河口湖,kawaguchiko,山梨県,Tier 1,후지산/숲 전망 객실탕 후보,"Ikkyu rotsuki theme snippet, Rakuten Top20 area",needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,205,kawaguchiko-kaneyamaen,庭園と感動の宿 富士山温泉 ホテル鐘山苑,kawaguchiko,山梨県,Tier 1,후지산 온천·정원·객실 노천탕 후보,Ikkyu Yamanashi room-open-air ranking,needs_official_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,206,kawaguchiko-konanso,富士河口湖温泉 湖南荘,kawaguchiko,山梨県,Tier 1,"후지산/호수 조망, 객실 노천탕 후보",Rakuten keyword result,needs_official_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,207,kawaguchiko-sunnide,Sunnide Resort ＜ホテル＆湖畔別邸 千一景＞,kawaguchiko,山梨県,Tier 1,"호반 별저, 객실 노천탕 후보",Rakuten Kawaguchiko room-open-air page,needs_official_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,208,kawaguchiko-yumedono,河口湖温泉寺 露天風呂の宿 夢殿,kawaguchiko,山梨県,Tier 1,"노천풍로 숙소, 고급 료칸 후보",Rakuten keyword result,needs_official_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,209,yubara-aburaya,湯原温泉 八景,yubara,岡山県,Tier 1,강변 노천과 스나유 접근성 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,210,hanamaki-kashoen,花巻温泉 佳松園,hanamaki,岩手県,Tier 1,고급 료칸과 대욕장 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,211,hanamaki-osawa-onsen,大沢温泉 山水閣,hanamaki,岩手県,Tier 1,자취부 병설 탕치와 강변 노천 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
