slug,name_ja,name_ko_or_en,area,prefecture,facility_type,facility_model,tier,candidate_status,initial_onsen_facility_signals,facility_area_axes_to_separate,visible_review_or_rating_signal,official_url,why_prioritized,source_basis,verification_status,direct_reviews_checked,onsen_related_direct_reviews_checked,source_urls,notes
noboribetsu-sagiriyu,登別温泉 さぎり湯,노보리베쓰 사기리유,noboribetsu,北海道,public_bath_facility,bathe,Tier 1,ready,"노보리베쓰 공중탕, 유황천/로컬탕 신호 후보",public_bath,Nifty/Jalan/4travel/Sauna-ikitai surfaces exist,https://sagiriyu-noboribetsu.com/,입욕 시설 후보로 딥리서치 가능,regional high-value seed,needs_source_crosscheck,0,0,https://sagiriyu-noboribetsu.com/ ; https://onsen.nifty.com/noboribetsu-onsen/onsen000007/kuchikomi/ ; https://4travel.jp/dm_shisetsu/11195229,低価格で強い泉質。硫黄臭/白濁/酸性含鉄/地元銭湯感/ドライヤー有料 등을 확인
noboribetsu-daiichi-dayuse,第一滝本館 日帰り入浴,다이이치 타키모토칸 당일입욕,noboribetsu,北海道,large_day_use_complex,bathe,Tier 1,operation_recheck,"대형 호텔 온천 당일입욕, 접수시간·요금 확인 필요",public_bath,Nifty/Rakuten/Jalan review surfaces exist,https://takimotokan.co.jp/ja/,운영/족탕/정체성 조건 분리 후 후속 처리,Noboribetsu tourism day-use page,needs_official_detail_crosscheck,0,0,https://takimotokan.co.jp/ja/ ; https://onsen.nifty.com/noboribetsu-onsen/onsen000096/kuchikomi/ ; https://travel.rakuten.co.jp/HOTEL/30109/30109.html,"多泉質大型浴場。メンテナンス休館や時間帯料金が 변동성 큰 핵심 정보 요금, 접수마감, 휴업, 예약/식사세트 조건이 변동 가능한 운영 정보라 최신 확인 필요."
noboribetsu-grand-dayuse,登別グランドホテル 日帰り温泉,노보리베쓰 그랜드호텔 당일온천,noboribetsu,北海道,large_day_use_complex,bathe,Tier 1,operation_recheck,"日帰り 2,000엔, 접수마감/혼잡시 단축 신호, 鬼サウナ",public_bath;sauna_addon,Rakuten shows 118 marker; Nifty/Agoda surfaces exist,https://www.nobogura.co.jp/,운영/족탕/정체성 조건 분리 후 후속 처리,Official Noboribetsu Grand hot spring/news pages,needs_review_pool_crosscheck,0,0,https://www.nobogura.co.jp/ ; https://onsen.nifty.com/noboribetsu-onsen/onsen000136/kuchikomi/ ; https://travel.rakuten.co.jp/HOTEL/39175/review.html,"宿泊施設兼日帰り大型温泉。日帰り可否/時間/料金を 공식 세부 페이지로 추가 확인 요금, 접수마감, 휴업, 예약/식사세트 조건이 변동 가능한 운영 정보라 최신 확인 필요."
noboribetsu-sekisuitei-dayuse,登別石水亭 日帰り入浴,노보리베쓰 세키스이테이 당일입욕,noboribetsu,北海道,large_day_use_complex,bathe,Tier 2,operation_recheck,"대형 호텔 당일입욕, 접수마감 신호",public_bath,not_mapped_in_this_candidate_pass,,운영/족탕/정체성 조건 분리 후 후속 처리,Noboribetsu tourism day-use page,needs_official_detail_crosscheck,0,0,nationwide_east_facility_seed_v0_3_2026-07-03.csv,"요금, 접수마감, 휴업, 예약/식사세트 조건이 변동 가능한 운영 정보라 최신 확인 필요. 기존 Tier 1 검증 파일에서 공식 URL/리뷰풀 표면 미확인. 딥리서치 전 후보 검증 필요."
noboribetsu-manseikaku-dayuse,登別万世閣 日帰り入浴,노보리베쓰 만세이카쿠 당일입욕,noboribetsu,北海道,large_day_use_complex,bathe,Tier 2,operation_recheck,"아침/오후 당일입욕 시간 분리, 요금/접수마감 신호",public_bath,not_mapped_in_this_candidate_pass,,운영/족탕/정체성 조건 분리 후 후속 처리,Noboribetsu tourism day-use page,needs_official_detail_crosscheck,0,0,nationwide_east_facility_seed_v0_3_2026-07-03.csv,"요금, 접수마감, 휴업, 예약/식사세트 조건이 변동 가능한 운영 정보라 최신 확인 필요. 기존 Tier 1 검증 파일에서 공식 URL/리뷰풀 표면 미확인. 딥리서치 전 후보 검증 필요."
noboribetsu-suzuki-karurusu,カルルス温泉 鈴木旅館,가루루스온천 스즈키료칸,noboribetsu,北海道,public_bath_facility,bathe,Tier 2,hold,가루루스 온천권 당일입욕 후보,public_bath,not_mapped_in_this_candidate_pass,,운영/족탕/정체성 조건 분리 후 후속 처리,Noboribetsu tourism day-use page,needs_review_pool_crosscheck,0,0,nationwide_east_facility_seed_v0_3_2026-07-03.csv,기존 Tier 1 검증 파일에서 공식 URL/리뷰풀 표면 미확인. 딥리서치 전 후보 검증 필요.
jozankei-hoheikyo,豊平峡温泉,호헤이쿄온천,jozankei,北海道,open_air_public_bath,bathe,Tier 1,ready,"대자연 대노천탕, 조망/접근성/혼잡 신호 후보",open_air_public_bath,Nifty/Jalan/Jozankei surfaces exist,https://hoheikyo.co.jp/,입욕 시설 후보로 딥리서치 가능,Jozankei Tourism official day-use page,needs_review_pool_crosscheck,0,0,https://hoheikyo.co.jp/ ; https://onsen.nifty.com/jouzankei-onsen/onsen000045/kuchikomi/ ; https://jozankei.jp/oneday/hoheikyo-onsen/,露天風呂とインドカレーが強い。床の析出物/滑りやすさなど設備주의 신호도 확인 대상
jozankei-yunohana,湯の花 定山渓殿,유노하나 조잔케이덴,jozankei,北海道,large_day_use_complex,bathe,Tier 1,ready,"대중형 당일온천, 10:00-21:00/접수 20:30 노출, 셔틀 후보",public_bath,Nifty current review surface exists,https://www.yunohana.org/jyouzankei/,입욕 시설 후보로 딥리서치 가능,Jozankei day-use search result,needs_official_crosscheck,0,0,https://www.yunohana.org/jyouzankei/ ; https://jozankei.jp/oneday/yunohana-jozankei-den/ ; https://onsen.nifty.com/jouzankei-onsen/onsen000273/,지역밀착 대형 온욕시설. 요금개정 공지 있음.
jozankei-morino-uta-dayuse,定山渓鶴雅リゾートスパ森の謌 日帰り,모리노우타 당일온천,jozankei,北海道,wellness_spa,experience,Tier 1,operation_recheck,"스파 리조트형 당일 플랜, 식사세트 요금 신호",public_bath,Yahoo map review surface has day-use comments; JTB/Jalan surfaces exist,https://www.morino-uta.com/,운영/족탕/정체성 조건 분리 후 후속 처리,"Official Mori no Uta, Jozankei Tourism day-use page",needs_review_pool_crosscheck,0,0,https://www.morino-uta.com/ ; https://jozankei.jp/oneday/mori-no-uta/ ; https://travel.yahoo.co.jp/00001659/review/yahoomap/,"単独入浴ではなくランチセット予約制が 핵심. wellness_spa 후보로 분리 요금, 접수마감, 휴업, 예약/식사세트 조건이 변동 가능한 운영 정보라 최신 확인 필요."
jozankei-shogetsu-dayuse,章月グランドホテル 日帰り,쇼게쓰 그랜드호텔 당일온천,jozankei,北海道,hotel_dayuse_bath,bathe,Tier 2,operation_recheck,"식사세트형 고가 당일온천, 예약/가격 신호 후보",public_bath,not_mapped_in_this_candidate_pass,,운영/족탕/정체성 조건 분리 후 후속 처리,Jozankei Tourism day-use page,needs_official_detail_crosscheck,0,0,nationwide_east_facility_seed_v0_3_2026-07-03.csv,"요금, 접수마감, 휴업, 예약/식사세트 조건이 변동 가능한 운영 정보라 최신 확인 필요. 기존 Tier 1 검증 파일에서 공식 URL/리뷰풀 표면 미확인. 딥리서치 전 후보 검증 필요."
